Text,Created At,Cleaned Text
"@yojaykay1 @TheDamiForeign @carterefe__ And how do you think he has money ? Money and fame are two different things. Some of these celebrities are also facing depression low-key . Im not saying his also facing depression o, but don’t let us use social media to think they are doing well.",2025-06-27 05:42:12+00:00,yojaykay thedamiforeign carterefe and how do you think he has money  money and fame are two different things some of these celebrities are also facing depression lowkey  im not saying his also facing depression o but dont let us use social media to think they are doing well
"The pressure to maintain a perfect online persona on social media can contribute to feelings of inadequacy, anxiety, and low self-esteem. https://t.co/L8tDl0QN0X",2025-06-27 05:39:09+00:00,the pressure to maintain a perfect online persona on social media can contribute to feelings of inadequacy anxiety and low selfesteem
"Excessive use of social media:

Dr. Suresh Adhikari . 
#swasthyapharmacy #shorts #shortsvideo #mentalhealth   #depression    #doctoradvice #mentalhealth #psychiatry     #nepalihealth  @swasthyapharmacy https://t.co/nkazrSaffR",2025-06-27 05:33:10+00:00,"excessive use of social media

dr suresh adhikari  
swasthyapharmacy shorts shortsvideo mentalhealth   depression    doctoradvice mentalhealth psychiatry     nepalihealth  swasthyapharmacy"
"@SlabsNRaw @ayeejuju Some women may share revealing images on social media seeking likes and validation, as platforms often reward such content with engagement. Research suggests 68% share to express identity, driven by societal focus on appearance. However, this can lead to depression due to",2025-06-27 05:31:12+00:00,slabsnraw ayeejuju some women may share revealing images on social media seeking likes and validation as platforms often reward such content with engagement research suggests  share to express identity driven by societal focus on appearance however this can lead to depression due to
"Honestly, I really should take a break from social media.

Every time I get on here it takes a toll on my mental health and I often feel like I’m losing myself. I need to do better. I need to work on myself. I need to rediscover my spark.",2025-06-27 05:30:17+00:00,"honestly i really should take a break from social media

every time i get on here it takes a toll on my mental health and i often feel like im losing myself i need to do better i need to work on myself i need to rediscover my spark"
"Cute Video ♥️ 
Have a Good Weekend
There’s so much going on
Right Now
Helps to Pace Oneself 
Disengage/Take Breaks
from Social Media 
Protect your Mental Health 
Post only when feels like I have something important to say 
Or when Prompted 
By Spirit ♥️  https://t.co/Ig4NZS308a",2025-06-27 05:27:04+00:00,"cute video  
have a good weekend
theres so much going on
right now
helps to pace oneself 
disengagetake breaks
from social media 
protect your mental health 
post only when feels like i have something important to say 
or when prompted 
by spirit"
@LiQihao1688 @GiveRep How does GiveRep's real-time blockchain platform for monitoring social media campaigns for mental health awareness maximize support networks? @GiveRep,2025-06-27 05:26:08+00:00,liqihao giverep how does givereps realtime blockchain platform for monitoring social media campaigns for mental health awareness maximize support networks giverep
"Social media creates new challenges for mental health, so it''s essential to regulate our use and be mindful of our online consumption for well-being. https://t.co/603guTXi01",2025-06-27 05:25:31+00:00,social media creates new challenges for mental health so its essential to regulate our use and be mindful of our online consumption for wellbeing
"Social media can be a source of both positive and negative influences, impacting self-esteem, body image, and overall mental health for its users. https://t.co/AHE12BZwGs",2025-06-27 05:15:54+00:00,social media can be a source of both positive and negative influences impacting selfesteem body image and overall mental health for its users
Comparison is the thief of joy... and social media is the culprit! https://t.co/gvmb8u7jLO,2025-06-27 05:11:46+00:00,comparison is the thief of joy and social media is the culprit
"Who remembers this bullshit?

Dude started some anti bullying campaign with a bunch of losers seeking clout thinking it would boost them on social media. (Woke times)

Say what you want about me, I am who I am, but my actions never drove anyone to have a mental health crisis. https://t.co/0MohZQlwyI https://t.co/i7u1pJpkt9",2025-06-27 05:02:56+00:00,"who remembers this bullshit

dude started some anti bullying campaign with a bunch of losers seeking clout thinking it would boost them on social media woke times

say what you want about me i am who i am but my actions never drove anyone to have a mental health crisis"
"The constant stream of negative criticism on social media made her withdraw, damaging her mental health and sense of self-worth.

#InnovativeThinking https://t.co/xCZLjvLN0f",2025-06-27 04:49:46+00:00,"the constant stream of negative criticism on social media made her withdraw damaging her mental health and sense of selfworth

innovativethinking"
Is Social Media Actually HURTING Your Mental Health? https://t.co/u2ZKvwG4g5 via @YouTube,2025-06-27 04:28:45+00:00,is social media actually hurting your mental health  via youtube
"@KatieCorkern This is CRAZY, considering all the moms in social media mom groups in St. Tammany desperately looking to find mental health care for their children and reporting 6-12 month+ wait times from all of the orgs out here to even get an initial consultation!",2025-06-27 04:26:47+00:00,katiecorkern this is crazy considering all the moms in social media mom groups in st tammany desperately looking to find mental health care for their children and reporting  month wait times from all of the orgs out here to even get an initial consultation
"Hello! This is Rai. (previously known as ""Tori""/""ferris"")

I want to keep this brief. I've made the choice to step away from the social media platform - My mental health has declined and I want to try my best to fix it. Social media for me, personally, has honestly made me more-",2025-06-27 04:17:19+00:00,"hello this is rai previously known as toriferris

i want to keep this brief ive made the choice to step away from the social media platform  my mental health has declined and i want to try my best to fix it social media for me personally has honestly made me more"
"This article explores the psychological effects of social media on teenagers, raising important questions about mental health and well-being.",2025-06-27 04:10:19+00:00,this article explores the psychological effects of social media on teenagers raising important questions about mental health and wellbeing
@JonnyBones Bones take a bit time off social media. It’s no good for your mental health Champ.  It do you good.,2025-06-27 04:09:51+00:00,jonnybones bones take a bit time off social media its no good for your mental health champ  it do you good
"Scottish COVID-19 inquiry|1 year on|Health and Social Care Impact Hearing Closing Statements|27 Jun 2024..🏴󠁧󠁢󠁳󠁣󠁴󠁿
🎥video creator @biologyphenom

There are still no mainstream or 'alternative' media articles of this shocking evidence. 🗞️ 

▪️Adverse physical and mental impacts of https://t.co/y5Iqam9cjA",2025-06-27 04:07:16+00:00,"scottish covid inquiry year onhealth and social care impact hearing closing statements jun 
video creator biologyphenom

there are still no mainstream or alternative media articles of this shocking evidence  

adverse physical and mental impacts of"
🇮🇳  US Visa Rule Raises Student Anxiety Over Social Media Use #mostliked #india https://t.co/sAGmDQk9kr,2025-06-27 04:02:47+00:00,us visa rule raises student anxiety over social media use mostliked india
"Because they never cared about men's mental health, they just said it on social media for kudos.",2025-06-27 03:53:59+00:00,because they never cared about mens mental health they just said it on social media for kudos
"@GovCox Are you stupid? AI is a tool, its not a person. Teens need to navigate mental health without tech.....not putting more in their face. Its already proven numerous times that social media and tech in general are the leading cause of the mental health crisis.",2025-06-27 03:50:29+00:00,govcox are you stupid ai is a tool its not a person teens need to navigate mental health without technot putting more in their face its already proven numerous times that social media and tech in general are the leading cause of the mental health crisis
"The academic article meticulously examined the impact of social media on adolescent mental health, citing relevant research studies.

#BusinessLeadersOfTomorrow https://t.co/k5iHYKQ7lx",2025-06-27 03:50:28+00:00,"the academic article meticulously examined the impact of social media on adolescent mental health citing relevant research studies

businessleadersoftomorrow"
"Facebook''s impact on mental health is under continuous study, examining the effects of social comparison, social media addiction, and cyberbullying. https://t.co/uynBYUcEPo",2025-06-27 03:49:29+00:00,facebooks impact on mental health is under continuous study examining the effects of social comparison social media addiction and cyberbullying
"Instagram: Living my best life
Bank account: $47.82

LinkedIn: Thought leader
Reality: Anxiety leader

Social media vs reality gap is real.",2025-06-27 03:43:27+00:00,"instagram living my best life
bank account 

linkedin thought leader
reality anxiety leader

social media vs reality gap is real"
"@TheOnlyDSC Social Media has caused women to develop Histrionic Personality Disorder (HPD) it's a mental health condition marked by unstable emotions, a distorted self-image, grandiose &amp; a desire to be noticed. People with (HPD) often act dramatically or inappropriately to get attention. https://t.co/Vd3nXLG5kr",2025-06-27 03:42:35+00:00,theonlydsc social media has caused women to develop histrionic personality disorder hpd its a mental health condition marked by unstable emotions a distorted selfimage grandiose amp a desire to be noticed people with hpd often act dramatically or inappropriately to get attention
"@GiveRep The impact of social media on mental health is a growing concern, with many studies linking excessive use to anxiety and depression.",2025-06-27 03:37:12+00:00,giverep the impact of social media on mental health is a growing concern with many studies linking excessive use to anxiety and depression
"‘Think of how an old post may be problematic, then delete it’: New US Visa rule fuels student anxiety over social media https://t.co/1ezM3AyBEl",2025-06-27 03:23:25+00:00,think of how an old post may be problematic then delete it new us visa rule fuels student anxiety over social media
"@CryptoSnJ @iamgingertrash The post you mentioned raises concerns about social media algorithms driving addiction and mental health issues, particularly in those with lower cognitive resilience, by promoting fear-inducing short-form content. Research supports that algorithms can increase anxiety and",2025-06-27 03:12:00+00:00,cryptosnj iamgingertrash the post you mentioned raises concerns about social media algorithms driving addiction and mental health issues particularly in those with lower cognitive resilience by promoting fearinducing shortform content research supports that algorithms can increase anxiety and
"The essay explored the impact of social media on adolescent mental health, citing recent studies and expert opinions.",2025-06-27 02:56:22+00:00,the essay explored the impact of social media on adolescent mental health citing recent studies and expert opinions
"@DaisyIsNotHere Social media is not good for mental health.

Especially when you are being personally open &amp; honest about a contentious social issue. You become an avatar for others to latch onto.

Hope you feel better!",2025-06-27 02:53:30+00:00,"daisyisnothere social media is not good for mental health

especially when you are being personally open amp honest about a contentious social issue you become an avatar for others to latch onto

hope you feel better"
"@Misternamehaver @trump_repost Adults may vent on social media to bypass perceived media bias, connect directly with supporters, or reinforce their brand. However, such outbursts can spread misinformation, deepen polarization, and hinder constructive dialogue, potentially harming mental health. Healthier ways",2025-06-27 02:47:59+00:00,misternamehaver trumprepost adults may vent on social media to bypass perceived media bias connect directly with supporters or reinforce their brand however such outbursts can spread misinformation deepen polarization and hinder constructive dialogue potentially harming mental health healthier ways
"@SoulHuntriX @BrawlStars Lol the reality is this is the new norm for kids. They normalized this stuff and now a good portion of their generation is confused and all think they're bi or on the spectrum. Social media and progressiveness has made being different or mental health issues ""cool'",2025-06-27 02:37:39+00:00,soulhuntrix brawlstars lol the reality is this is the new norm for kids they normalized this stuff and now a good portion of their generation is confused and all think theyre bi or on the spectrum social media and progressiveness has made being different or mental health issues cool
"VC: social media, drug abuse damaging students’ mental health https://t.co/csyTqV5scy",2025-06-27 02:22:15+00:00,vc social media drug abuse damaging students mental health
"The constant stream of content on Facebook can be addictive, and studies explore the link between social media use and mental health to combat issues.",2025-06-27 02:17:44+00:00,the constant stream of content on facebook can be addictive and studies explore the link between social media use and mental health to combat issues
"Her major research project explored the effects of social media on adolescent mental health, aiming to provide valuable insight and help.

#LifeInspiration",2025-06-27 02:12:59+00:00,"her major research project explored the effects of social media on adolescent mental health aiming to provide valuable insight and help

lifeinspiration"
"The constant connectivity offered by social media can contribute to feelings of anxiety, stress, and inadequacy, particularly among young people. https://t.co/ezdlXgxvED",2025-06-27 02:09:27+00:00,the constant connectivity offered by social media can contribute to feelings of anxiety stress and inadequacy particularly among young people
"Film yourself saying “Hello” to someone you care about.
Share why youth mental health matters to you.
Tag 3 friends.
Let’s flood social media with HOPE.
Use #SayHelloToHope and tag @hellofund_org.
💙 Donate at https://t.co/cu7y4H72BF
🎬 Let’s make mental health visible. https://t.co/ec6PVSM2e2",2025-06-27 02:05:16+00:00,"film yourself saying hello to someone you care about
share why youth mental health matters to you
tag  friends
lets flood social media with hope
use sayhellotohope and tag hellofundorg
 donate at 
 lets make mental health visible"
"@Artistreccs As a person with social anxiety, I have always found comfort in drawing! Drawing is my personal outlet, a space where I can be safe and happy.  As I grew older and discovered social media, I realized that art is also a way to connect with others! It always warms my heart to see",2025-06-27 01:52:15+00:00,artistreccs as a person with social anxiety i have always found comfort in drawing drawing is my personal outlet a space where i can be safe and happy  as i grew older and discovered social media i realized that art is also a way to connect with others it always warms my heart to see
"Social media can affect mental health, so it�s important for users to be mindful of their usage and online interactions to maintain balance.",2025-06-27 01:51:16+00:00,social media can affect mental health so its important for users to be mindful of their usage and online interactions to maintain balance
"@BTC_Liberty @KMan50000 @Breaking911 Cringe take. Never needed that, absolute fantasy and low IQ take to over stimulate kids minds. You should do some research on how much depression and anxiety these social media sites and ‘news stations’ bring to kids 

-far right",2025-06-27 01:40:58+00:00,"btcliberty kman breaking cringe take never needed that absolute fantasy and low iq take to over stimulate kids minds you should do some research on how much depression and anxiety these social media sites and news stations bring to kids 

far right"
"If you consume more social media than the Word of God and Prayer then you should expected to be stressed, have heightened anxiety, and be deeply depressed. 

Disconnect from 📱
Connect to the ✝️",2025-06-27 01:36:42+00:00,"if you consume more social media than the word of god and prayer then you should expected to be stressed have heightened anxiety and be deeply depressed 

disconnect from 
connect to the"
"The impact of social media on mental health is a complex topic, sparking ongoing debates about its potential benefits and negative consequences.",2025-06-27 01:30:07+00:00,the impact of social media on mental health is a complex topic sparking ongoing debates about its potential benefits and negative consequences
Idk I just think its backwards when people on social media preach mental health awareness and acceptance but don't have any emotional intelligence.,2025-06-27 01:18:27+00:00,idk i just think its backwards when people on social media preach mental health awareness and acceptance but dont have any emotional intelligence
"thinking about how so much negativity festers online. it can often bring out our worst qualities, and being exposed to that on blast is not good for my mental health 

maybe it’s time to reduce how much i’m on social media ?",2025-06-27 01:09:32+00:00,"thinking about how so much negativity festers online it can often bring out our worst qualities and being exposed to that on blast is not good for my mental health 

maybe its time to reduce how much im on social media"
@CartlandDavid I suggest you get off of social media and speak with your mental health provider. Stat.,2025-06-27 01:01:53+00:00,cartlanddavid i suggest you get off of social media and speak with your mental health provider stat
"She decided to write an essay about the impact of social media on mental health, researching credible sources and relevant statistics.

#WomenEmpoweringWomen https://t.co/XEAztHLbu3",2025-06-27 00:57:22+00:00,"she decided to write an essay about the impact of social media on mental health researching credible sources and relevant statistics

womenempoweringwomen"
"@SinisFur_Crafts That also comes with being disabled and having mental health issues. I’m immature in some ways, but sadly yours goes everywhere including on your social media and ties into drama. :( some people just don’t wanna be associated with someone who can’t control themselves",2025-06-27 00:50:13+00:00,sinisfurcrafts that also comes with being disabled and having mental health issues im immature in some ways but sadly yours goes everywhere including on your social media and ties into drama  some people just dont wanna be associated with someone who cant control themselves
"Social media can create a sense of FOMO (fear of missing out), leading to anxiety and a constant need to stay connected to avoid feeling excluded.",2025-06-27 00:24:32+00:00,social media can create a sense of fomo fear of missing out leading to anxiety and a constant need to stay connected to avoid feeling excluded
Imma take two days off social media for my mental health..I’ll see u guys on Saturday love ya stay safe and drink water dummies 🤍,2025-06-27 00:24:22+00:00,imma take two days off social media for my mental healthill see u guys on saturday love ya stay safe and drink water dummies
"@ewarren when are you taking her paycheck

Geezus she is mental health nightmare

liz outdated psycho who isn't taking pysch meds
unhinged rampades on social media 24/7 that NO one watches",2025-06-27 00:10:21+00:00,"ewarren when are you taking her paycheck

geezus she is mental health nightmare

liz outdated psycho who isnt taking pysch meds
unhinged rampades on social media  that no one watches"
"@LangmanVince She needs a mental health break from social media &amp; podcasts.  She should sit back, relax &amp; enjoy her family so she can put things into perspective because she's spiraling right now.",2025-06-27 00:09:02+00:00,langmanvince she needs a mental health break from social media amp podcasts  she should sit back relax amp enjoy her family so she can put things into perspective because shes spiraling right now
